"Charity","EffectiveAltruism","EffectiveAltruism2","WorkStatus","Profession","Degree","Age","Income","Year","CharityLog","IncomeLog","Bachelors","Highschool","Masters","MDJDotherprofessionaldegree","None","Other","PhD.","twoyeardegree","Academicsontheteachingside","Forprofitwork","Governmentwork","Homemaker","Independentlywealthy","Nonprofitwork","Selfemployed","Student","Unemployed"
1000,FALSE,NA,"Student","Computers (AI)","Bachelors",33,1e+05,"2013",6.90875477931522,11.5129354649202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,FALSE,NA,"Unemployed","Other","Bachelors",21,NA,"2013",5.30330490805908,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,TRUE,NA,"Unemployed",NA,"None",28,23000,"2013",5.86078622346587,10.043292972227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25,FALSE,NA,"Academics on the teaching side","Philosophy","Ph D.",34,50000,"2013",3.25809653802148,10.8197982842103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
200,TRUE,NA,"Forprofit work","Mathematics","Ph D.",20,2000,"2013",5.30330490805908,7.60140233458373,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
200,TRUE,NA,"Student","Other","High school",26,5000,"2013",5.30330490805908,8.5173931714189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Academics on the teaching side","Mathematics","Masters",38,90000,"2013",0,11.4075760603618,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",31,NA,"2013",7.60140233458373,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,FALSE,NA,"Academics on the teaching side","Finance / Economics","Ph D.",23,NA,"2013",5.30330490805908,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,FALSE,NA,"Unemployed","Computers (practical: IT programming etc.)","Bachelors",40,30000,"2013",0,10.3089859934221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500,TRUE,NA,"Student","Computers (practical: IT programming etc.)","High school",25,70000,"2013",6.21660610108486,11.1562648066437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6000,TRUE,NA,"Student","Mathematics","High school",20,20000,"2013",8.69968140098951,9.90353755128617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Student","Mathematics","High school",35,1e+05,"2013",0,11.5129354649202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Ph D.",19,0,"2013",1.79175946922805,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
